time,sentiment,contributors_active,contributors_created,posts_active,posts_created,interactions,social_dominance,open,close,high,low,volume_24h,market_cap,circulating_supply,galaxy_score,volatility,alt_rank
2024-04-29,74,406,113,718,194,107542,0.10731201341549626,2.6519072122,2.7730452673,2.804722507853536,2.5542939267959808,336188485.08,2770720623.66,998906139.23,36.5,0.0231,21.0
2024-04-30,75,397,96,628,152,50826,0.0920923739302327,2.7737547251,2.502735682,2.800824853549191,2.3462212668212254,399173479.27,2499998037.46,998906139.15,34.0,0.0422,1462.0
2024-05-01,80,393,104,645,166,138869,0.09886481730701435,2.5027296746,2.6155126824,2.6955933286,2.281035722249028,539683830.16,2612651666.63,998906135.77,35.5,0.0469,27.0
2024-05-02,82,483,134,729,177,190562,0.10486115606188104,2.6155126824,2.7342673471,2.8292811262374697,2.5063063834586936,431302207.72,2731276409.88,998906128.46,47.0,0.0554,130.0
2024-05-03,84,452,134,671,189,103969,0.09083684970765697,2.7342673471,3.1074651895,3.1564121040547115,2.729658844677192,444766259.67,3104065957.69,998906107.85,37.0,0.0541,73.0
2024-05-04,77,501,191,771,277,148151,0.10190621456082519,3.1074651895,3.3936112272,3.473256591475908,3.0905998884016697,546978472.19,3389898964.47,998906102.54,50.0,0.0822,54.0
2024-05-05,86,531,106,842,171,84667,0.10972185119788375,3.3930852398778395,3.2171246491570433,3.4910726166938004,3.182233336383662,388523286.32,3213605407.54,998906091.0,52.5,0.0271,484.0
2024-05-06,83,525,181,864,287,106159,0.11742193615725842,3.216770180511468,3.357395926482826,3.6666406718226865,3.216770180511468,623250268.98,3353723089.67,998906045.97,37.0,0.0263,17.0
2024-05-07,83,534,127,877,218,84347,0.11280105469629248,3.3600605008247135,3.0024313738682356,3.5695504135357474,2.997430168383894,576080000.49,2999146842.46,998906042.8,55.0,0.0322,428.0
2024-05-08,82,556,137,932,241,94926,0.11777595525524652,3.003386147699893,2.7521331505982767,3.0113429510372556,2.74144758188047,481219893.54,2749122424.54,998906039.1,43.0,0.0689,841.0
2024-05-09,83,639,183,1137,284,239492,0.1423016319005966,2.7807779493122102,3.1238945141872025,3.1825940125359593,2.7719735480854775,421268241.64,3120477078.37,998906033.54,56.0,0.0283,30.0
2024-05-10,86,559,146,954,252,173231,0.12799459041731065,3.1214031354055076,2.990809851284098,3.2464556808630802,2.9086042552375364,471337175.27,2987537984.66,998906026.53,40.0,0.0456,493.0
2024-05-11,89,585,134,949,196,218736,0.13526052259876942,2.978414183751718,3.0031230329222107,3.139822810047438,2.977815215476376,271228780.48,2999837688.68,998906024.093056,41.0,0.0277,118.0
2024-05-12,87,540,148,922,261,286952,0.13297603835248167,3.0005043384628776,2.9735882269927396,3.0569578454565445,2.946721572466064,176971708.85,2970335177.27,998906018.765377,39.0,0.0104,305.0
